links,rate
/films/1200486,9.6
/films/1297,9.5
/films/1206605,9.5
/films/1292,9.3
/films/1211270,9.6
/films/1203,9.4
/films/1216365,8.1
/films/1303,9.3
/films/4055,9.4
/films/416,9.0
/films/1633,9.4
/films/1212,9.3
/films/78341,9.3
/films/1304,8.9
/films/70976,9.1
/films/3667,9.2
/films/1319,8.9
/films/342068,9.6
/films/588362,9.8
/films/1218727,9.3
/films/995,9.0
/films/1215201,8.6
/films/38286,9.3
/films/46818,8.9
/films/267,9.4
/films/344881,9.2
/films/899,9.3
/films/43,9.1
/films/718,9.3
/films/67214,8.8
/films/1205,8.8
/films/123,9.2
/films/458721,9.4
/films/1247,9.3
/films/341178,9.0
/films/20394,8.5
/films/1375,9.0
/films/342754,8.6
/films/409801,8.0
/films/1204,8.7
/films/6289,8.8
/films/246286,9.5
/films/488,9.3
/films/248172,9.1
/films/2039,8.8
/films/1284164,8.2
/films/553231,9.2
/films/182,8.5
/films/18318,8.8
/films/1291,8.8
/films/243,9.4
/films/1332,9.1
/films/23127,9.0
/films/614,8.9
/films/1314,8.4
/films/7431,9.1
/films/1322,8.8
/films/1383,8.9
/films/11473,8.8
/films/78997,8.7
/films/78449,8.7
/films/338365,8.8
/films/158,8.8
/films/65496,8.7
/films/4587,8.7
/films/337625,9.5
/films/1368,8.7
/films/2641,9.1
/films/1239,8.7
/films/2212,8.8
/films/343203,8.9
/films/1321,8.7
/films/1597,9.2
/films/224973,9.1
/films/1287,8.7
/films/38099,9.0
/films/1575,8.4
/films/1290,8.6
/films/513,8.8
/films/246433,8.8
/films/4430,8.5
/films/78538,9.1
/films/1167831,9.4
/films/78312,8.9
/films/14652,8.9
/films/1228,9.0
/films/2049,9.1
/films/2204,8.7
/films/790,9.3
/films/11105,8.6
/films/338349,9.3
/films/1379,8.6
/films/672130,9.2
/films/1202,8.6
/films/4883,8.9
/films/1233,8.8
/films/1219776,8.6
/films/20131,8.8
/films/78646,9.3
/films/907,8.7
